port,cargo_type,customer_type,industry,transport_mode,distance_km,transport_cost,port_cost,total_cost,delay_occurred,delay_days,monthly_spend_value,shipment_frequency,storage_required,storage_days,express_required,loss_due_to_delay,customer_satisfaction,will_choose_portkart
Mundra,Bulk,Retailer,Machinery,Multi-modal,1139,83169,27746,110915,0,0,443660,6,0,4,0,0,2,1
JNPT,Hazardous,Distributor,Textiles,Rail,1143,88784,34730,123514,0,0,988112,6,1,6,1,0,4,1
JNPT,Container,Retailer,Machinery,Multi-modal,835,68324,25408,93732,0,0,749856,6,1,5,0,0,3,1
Mundra,Liquid,Exporter,Textiles,Rail,563,55994,22735,78729,1,3,157458,14,0,1,1,20868,4,1
Cochin,Liquid,Importer,Machinery,Multi-modal,177,59091,27959,87050,1,2,261150,7,1,5,0,7000,4,1
Mundra,Container,Distributor,Electronics,Road,231,72991,26297,99288,0,0,397152,13,1,3,0,0,5,1
Kolkata,Liquid,Importer,FMCG,Multi-modal,1237,41893,33753,75646,0,0,151292,11,0,2,0,0,3,0
Chennai,Liquid,Retailer,Textiles,Rail,259,75712,27210,102922,0,0,411688,14,1,5,1,0,5,1
JNPT,Bulk,Exporter,Chemicals,Rail,134,41211,20229,61440,1,2,184320,1,0,6,1,19760,3,1
Mundra,Container,Exporter,Chemicals,Rail,1334,87321,25820,113141,1,2,791987,14,0,3,1,9454,5,1
Chennai,Hazardous,Distributor,Textiles,Road,487,77726,20524,98250,0,0,786000,11,1,2,1,0,1,1
Chennai,Hazardous,Retailer,Machinery,Rail,1375,52916,35167,88083,0,0,792747,2,0,5,1,0,2,0
Cochin,Bulk,Retailer,Machinery,Rail,461,52067,28740,80807,0,0,646456,6,0,6,0,0,1,0
Chennai,Hazardous,Importer,Machinery,Road,603,57948,38224,96172,1,4,865548,7,1,4,0,5128,2,1
Mundra,Container,Importer,Chemicals,Road,1198,54196,39354,93550,1,2,280650,3,1,5,1,3128,2,1
Mundra,Bulk,Exporter,Chemicals,Road,1282,43670,22251,65921,1,4,527368,11,0,5,1,18196,1,1
Chennai,Bulk,Distributor,FMCG,Road,498,49546,25335,74881,0,0,374405,8,0,2,0,0,4,0
Kolkata,Hazardous,Retailer,Electronics,Rail,754,74831,22000,96831,0,0,774648,10,0,4,0,0,3,1
Cochin,Bulk,Distributor,Textiles,Multi-modal,308,49318,28488,77806,0,0,622448,12,0,1,1,0,5,0
Mundra,Container,Distributor,Chemicals,Road,1074,50694,32191,82885,1,2,497310,12,1,3,1,17930,4,1
JNPT,Liquid,Importer,Textiles,Road,1445,41849,22642,64491,1,4,257964,5,0,4,1,34532,2,1
JNPT,Bulk,Exporter,Machinery,Rail,651,74881,21044,95925,0,0,479625,5,0,4,0,0,1,1
JNPT,Container,Exporter,FMCG,Multi-modal,544,62259,20237,82496,0,0,164992,3,1,2,0,0,2,0
Kolkata,Hazardous,Importer,FMCG,Rail,1244,64845,25131,89976,0,0,179952,1,0,5,1,0,1,1
JNPT,Hazardous,Retailer,FMCG,Road,384,70728,29244,99972,1,2,199944,13,1,2,1,13120,1,1
Kolkata,Liquid,Retailer,FMCG,Rail,304,40074,33161,73235,0,0,439410,4,1,1,0,0,5,1
Kolkata,Liquid,Exporter,Chemicals,Rail,285,76704,29307,106011,0,0,954099,5,1,5,0,0,1,1
Mundra,Hazardous,Importer,Textiles,Rail,746,61058,36925,97983,0,0,587898,13,1,1,1,0,1,1
Chennai,Container,Distributor,Machinery,Rail,858,45419,22722,68141,1,1,204423,12,1,4,0,6073,5,1
Cochin,Bulk,Exporter,Electronics,Rail,1046,87915,37737,125652,1,3,1005216,14,0,6,1,26202,3,1
Cochin,Liquid,Exporter,Chemicals,Rail,859,89464,26269,115733,1,2,462932,12,0,4,1,16258,2,1
Cochin,Hazardous,Retailer,FMCG,Multi-modal,304,73715,25677,99392,1,1,397568,13,1,6,1,5920,1,1
Chennai,Hazardous,Retailer,Textiles,Multi-modal,972,60760,29490,90250,0,0,722000,8,1,2,0,0,3,1
Mundra,Bulk,Importer,FMCG,Road,155,52454,27968,80422,0,0,321688,12,0,5,0,0,5,0
Cochin,Hazardous,Importer,FMCG,Road,847,78506,35126,113632,0,0,340896,10,1,5,0,0,2,1
JNPT,Container,Exporter,FMCG,Multi-modal,1498,74160,26789,100949,1,2,302847,8,1,2,0,5564,5,1
Mundra,Bulk,Exporter,Textiles,Rail,1351,54485,35605,90090,1,3,450450,3,0,2,0,22128,2,1
Cochin,Liquid,Distributor,FMCG,Multi-modal,1259,66120,20078,86198,0,0,172396,2,0,6,0,0,1,0
Chennai,Liquid,Exporter,Textiles,Road,655,44710,20328,65038,0,0,390228,4,0,1,0,0,5,0
Mundra,Hazardous,Importer,Textiles,Rail,405,51560,37700,89260,0,0,803340,11,0,2,1,0,3,1
Kolkata,Liquid,Exporter,Textiles,Rail,1288,42024,25839,67863,1,4,610767,2,1,3,1,35844,5,1
Chennai,Bulk,Exporter,FMCG,Rail,1466,52031,35128,87159,0,0,522954,6,0,5,0,0,3,0
Mundra,Liquid,Exporter,Textiles,Rail,948,43071,36939,80010,0,0,480060,12,0,4,1,0,5,0
JNPT,Container,Distributor,Electronics,Multi-modal,1247,45188,28802,73990,0,0,221970,5,0,4,1,0,3,1
JNPT,Bulk,Retailer,Machinery,Rail,1462,81576,22786,104362,0,0,626172,4,0,5,0,0,5,1
Kolkata,Bulk,Importer,Electronics,Multi-modal,786,43457,29848,73305,1,2,146610,1,0,5,0,17454,1,1
JNPT,Liquid,Distributor,Textiles,Road,517,79243,22017,101260,1,1,202520,5,1,6,0,7343,2,1
Kolkata,Hazardous,Retailer,FMCG,Multi-modal,991,86577,27027,113604,0,0,681624,14,1,4,0,0,2,1
Mundra,Container,Retailer,Machinery,Rail,1281,54842,37393,92235,1,1,737880,9,1,2,0,5241,4,1
Mundra,Container,Retailer,Machinery,Rail,1152,65103,29215,94318,0,0,565908,1,0,1,0,0,1,1
Chennai,Container,Exporter,Machinery,Rail,495,44700,31027,75727,0,0,454362,14,0,2,0,0,5,0
JNPT,Liquid,Distributor,Electronics,Rail,1275,68997,29186,98183,1,2,490915,8,0,3,0,13038,2,1
Cochin,Container,Exporter,Textiles,Rail,65,59838,32144,91982,0,0,827838,8,1,4,0,0,4,1
JNPT,Hazardous,Importer,Electronics,Road,878,55493,24055,79548,0,0,159096,6,0,4,1,0,1,1
Cochin,Bulk,Importer,FMCG,Rail,863,66849,30702,97551,0,0,195102,10,0,3,0,0,2,1
JNPT,Bulk,Retailer,Textiles,Road,1260,84451,23513,107964,0,0,647784,4,1,6,1,0,4,1
Chennai,Hazardous,Retailer,Chemicals,Multi-modal,1308,49107,25993,75100,0,0,525700,11,0,1,1,0,3,0
Kolkata,Liquid,Distributor,Textiles,Rail,1437,57322,29828,87150,0,0,522900,2,1,4,1,0,2,1
Chennai,Bulk,Distributor,Machinery,Multi-modal,1302,61322,22971,84293,0,0,337172,2,0,6,1,0,2,1
Chennai,Container,Distributor,Chemicals,Multi-modal,344,52682,31723,84405,0,0,675240,9,0,2,0,0,5,1
Kolkata,Hazardous,Retailer,Electronics,Road,420,57558,21164,78722,1,4,551054,3,0,5,1,32444,3,1
JNPT,Hazardous,Importer,Chemicals,Road,819,80030,21541,101571,0,0,406284,7,0,1,1,0,4,1
Kolkata,Bulk,Importer,Textiles,Rail,905,82399,31245,113644,0,0,1022796,5,1,6,1,0,3,1
JNPT,Bulk,Retailer,Machinery,Rail,795,61323,25432,86755,1,4,433775,3,1,5,1,19468,3,1
Mundra,Bulk,Exporter,Machinery,Multi-modal,149,60187,22327,82514,1,2,495084,5,0,1,1,10762,2,1
JNPT,Container,Exporter,Chemicals,Multi-modal,102,59462,22983,82445,0,0,577115,2,1,4,1,0,4,0
JNPT,Liquid,Exporter,FMCG,Rail,1313,85723,21220,106943,0,0,855544,12,0,3,0,0,2,1
Mundra,Liquid,Exporter,FMCG,Road,842,42568,29330,71898,1,4,431388,3,0,3,1,24772,4,1
Chennai,Liquid,Distributor,FMCG,Multi-modal,1095,72980,21658,94638,1,1,851742,3,0,1,1,6578,2,1
Kolkata,Bulk,Exporter,FMCG,Road,1440,84650,34247,118897,1,3,832279,2,0,1,1,5211,4,1
Cochin,Bulk,Retailer,Textiles,Multi-modal,306,69294,37643,106937,0,0,641622,11,1,1,1,0,5,1
JNPT,Bulk,Retailer,Machinery,Rail,1354,72312,26519,98831,1,2,790648,3,1,6,0,7978,2,1
Chennai,Hazardous,Retailer,Machinery,Multi-modal,397,48998,22722,71720,1,2,645480,8,1,4,0,14832,1,1
Kolkata,Bulk,Retailer,Machinery,Road,902,50972,35368,86340,0,0,172680,5,1,6,1,0,1,0
Cochin,Container,Retailer,Textiles,Rail,970,53112,31785,84897,1,1,339588,1,0,1,0,2469,4,1
Cochin,Bulk,Exporter,Machinery,Rail,829,57207,23431,80638,0,0,564466,8,0,5,1,0,3,1
Kolkata,Hazardous,Retailer,Electronics,Rail,1166,76486,20021,96507,0,0,868563,11,0,4,0,0,2,1
Mundra,Hazardous,Importer,Electronics,Road,179,52641,29196,81837,0,0,654696,13,0,5,1,0,1,1
Kolkata,Bulk,Retailer,Textiles,Road,1406,54692,38120,92812,0,0,835308,7,0,5,0,0,2,1
Chennai,Bulk,Importer,Textiles,Rail,1182,88780,20667,109447,1,3,437788,7,0,2,1,4173,1,1
Kolkata,Liquid,Importer,Textiles,Multi-modal,1435,87085,38768,125853,1,4,880971,13,0,3,1,18192,2,1
Kolkata,Hazardous,Importer,Machinery,Road,666,55890,38807,94697,0,0,662879,4,1,4,1,0,1,1
JNPT,Liquid,Exporter,FMCG,Multi-modal,165,77259,33919,111178,1,2,889424,3,1,6,1,10554,1,1
Cochin,Bulk,Retailer,Electronics,Road,653,53703,39187,92890,1,3,278670,6,0,4,0,11514,1,1
Mundra,Liquid,Importer,Textiles,Multi-modal,1407,73743,27605,101348,0,0,912132,7,0,2,1,0,1,1
Chennai,Bulk,Retailer,Electronics,Road,1068,45153,30481,75634,1,1,529438,6,1,2,0,2067,4,1
JNPT,Liquid,Exporter,Textiles,Multi-modal,364,86946,35187,122133,1,1,610665,1,1,2,0,8013,3,1
JNPT,Bulk,Distributor,Chemicals,Road,601,67937,36740,104677,1,4,732739,3,0,2,0,30568,3,1
Mundra,Hazardous,Retailer,FMCG,Multi-modal,927,82278,29727,112005,1,4,672030,7,0,1,1,5168,4,1
JNPT,Liquid,Distributor,Textiles,Road,1085,73001,34429,107430,1,3,322290,3,0,4,1,12873,1,1
Cochin,Liquid,Distributor,Electronics,Rail,1038,78889,38660,117549,0,0,1057941,14,0,2,0,0,3,1
Mundra,Liquid,Retailer,Machinery,Road,1478,66442,36412,102854,1,4,822832,12,1,3,0,36284,5,1
Cochin,Bulk,Importer,Electronics,Multi-modal,375,59965,39146,99111,1,1,297333,11,0,3,0,4777,3,1
Kolkata,Bulk,Exporter,Electronics,Road,1200,60080,23896,83976,1,4,587832,1,0,6,1,4364,3,1
JNPT,Container,Importer,Electronics,Rail,848,83876,28128,112004,0,0,336012,11,0,6,0,0,5,1
Mundra,Container,Importer,Chemicals,Road,766,73365,25622,98987,1,4,494935,6,0,1,1,35384,4,1
JNPT,Bulk,Retailer,Chemicals,Road,569,48419,35184,83603,0,0,752427,8,0,1,0,0,4,1
Mundra,Bulk,Exporter,Machinery,Rail,638,83565,26256,109821,0,0,219642,11,0,6,1,0,3,1
JNPT,Bulk,Distributor,Machinery,Multi-modal,450,70255,26605,96860,0,0,484300,8,0,5,0,0,4,1
Chennai,Container,Importer,Chemicals,Multi-modal,936,61217,32489,93706,0,0,468530,7,0,2,0,0,5,1
JNPT,Bulk,Exporter,FMCG,Multi-modal,225,77909,23671,101580,0,0,812640,6,0,6,1,0,4,1
Kolkata,Bulk,Retailer,Chemicals,Multi-modal,1214,60389,23241,83630,1,3,334520,2,0,2,1,20349,1,1
Cochin,Container,Exporter,Textiles,Multi-modal,1276,63227,22433,85660,1,3,342640,13,1,4,1,26946,1,1
Mundra,Bulk,Distributor,FMCG,Rail,1116,61390,32881,94271,0,0,848439,10,0,6,1,0,3,1
Mundra,Container,Retailer,Chemicals,Rail,1477,64124,24566,88690,0,0,443450,2,0,6,1,0,4,0
Cochin,Liquid,Retailer,Machinery,Rail,755,75771,34174,109945,0,0,989505,6,1,1,0,0,3,1
Chennai,Container,Importer,Machinery,Multi-modal,436,44944,36057,81001,0,0,243003,4,1,3,1,0,2,1
Mundra,Hazardous,Exporter,Electronics,Rail,425,84402,20055,104457,1,2,313371,7,0,4,0,2218,1,1
JNPT,Container,Retailer,Chemicals,Road,154,78452,33266,111718,1,4,670308,6,1,4,1,5192,1,1
Chennai,Hazardous,Exporter,Machinery,Multi-modal,1284,46382,38895,85277,0,0,170554,6,0,5,0,0,2,0
Cochin,Container,Importer,FMCG,Multi-modal,554,68225,33085,101310,0,0,506550,10,1,4,0,0,5,1
JNPT,Container,Exporter,Textiles,Road,589,89146,26849,115995,0,0,347985,3,0,5,1,0,2,1
Cochin,Container,Retailer,FMCG,Rail,369,74414,36142,110556,1,1,221112,9,0,4,0,4034,1,1
Mundra,Liquid,Importer,Electronics,Rail,1422,47036,39131,86167,0,0,689336,10,1,4,1,0,4,1
Cochin,Hazardous,Retailer,Machinery,Road,688,85771,20818,106589,0,0,319767,2,1,2,0,0,1,1
Cochin,Container,Distributor,Electronics,Rail,792,51139,35702,86841,1,4,607887,13,1,6,1,39896,1,1
Kolkata,Liquid,Distributor,Textiles,Rail,1041,78383,36016,114399,0,0,686394,3,0,3,1,0,1,1
JNPT,Bulk,Retailer,Electronics,Multi-modal,1093,81876,26458,108334,0,0,758338,9,1,5,0,0,4,1
Mundra,Container,Distributor,FMCG,Multi-modal,911,70984,29173,100157,0,0,300471,6,1,2,1,0,2,1
Mundra,Hazardous,Retailer,Machinery,Multi-modal,102,70720,29972,100692,0,0,302076,12,1,2,1,0,3,1
Chennai,Liquid,Importer,Electronics,Rail,891,64874,39731,104605,0,0,313815,2,1,6,0,0,2,1
Kolkata,Container,Importer,Electronics,Multi-modal,558,72069,36205,108274,1,3,974466,3,0,6,0,22860,3,1
JNPT,Hazardous,Distributor,Electronics,Multi-modal,208,78015,21734,99749,0,0,698243,10,1,1,1,0,5,1
JNPT,Bulk,Exporter,Machinery,Multi-modal,134,74959,28859,103818,0,0,207636,6,1,3,0,0,2,1
Mundra,Hazardous,Importer,FMCG,Multi-modal,892,66728,22024,88752,0,0,443760,14,1,4,0,0,3,0
Mundra,Liquid,Importer,FMCG,Road,1383,47848,34274,82122,0,0,410610,10,1,2,1,0,3,0
Kolkata,Hazardous,Distributor,Electronics,Rail,548,40002,37643,77645,0,0,155290,9,1,6,0,0,3,1
Kolkata,Liquid,Importer,Chemicals,Rail,1120,67757,29139,96896,0,0,387584,14,1,3,0,0,4,1
Kolkata,Hazardous,Distributor,Machinery,Rail,155,68876,23144,92020,0,0,184040,13,0,4,1,0,3,1
JNPT,Container,Importer,Machinery,Rail,191,73012,22625,95637,0,0,669459,13,1,4,0,0,1,1
JNPT,Hazardous,Exporter,FMCG,Road,1297,50892,31197,82089,1,4,738801,11,1,4,0,25548,4,1
Chennai,Container,Importer,Electronics,Rail,1004,74878,20957,95835,1,3,670845,12,0,2,0,10953,1,1
Cochin,Bulk,Distributor,Electronics,Rail,989,67846,24083,91929,0,0,827361,11,0,6,0,0,4,1
JNPT,Hazardous,Importer,Machinery,Road,321,87661,34408,122069,1,3,732414,6,1,5,1,20706,1,1
Chennai,Bulk,Exporter,FMCG,Multi-modal,59,84813,33603,118416,0,0,236832,1,0,1,0,0,3,1
JNPT,Container,Distributor,Textiles,Multi-modal,918,74898,34392,109290,0,0,874320,7,1,6,1,0,1,1
Mundra,Bulk,Distributor,Chemicals,Multi-modal,1125,66902,22810,89712,1,1,538272,1,1,4,0,6310,3,1
JNPT,Container,Retailer,Chemicals,Road,713,56182,28812,84994,0,0,424970,4,0,1,1,0,4,1
JNPT,Container,Retailer,Chemicals,Road,317,89098,39037,128135,0,0,768810,5,0,3,1,0,2,1
JNPT,Liquid,Retailer,Textiles,Road,438,53663,24784,78447,1,1,156894,9,0,3,0,5616,2,1
JNPT,Bulk,Exporter,FMCG,Multi-modal,1245,56365,20256,76621,0,0,153242,14,0,3,1,0,2,1
Chennai,Liquid,Importer,Machinery,Road,373,53275,34915,88190,1,1,264570,1,0,2,0,2695,4,1
Cochin,Hazardous,Exporter,Textiles,Rail,1088,41403,37810,79213,0,0,712917,10,0,3,1,0,1,0
JNPT,Liquid,Retailer,Electronics,Rail,1177,88356,21789,110145,1,3,771015,12,0,6,1,19482,2,1
Kolkata,Liquid,Distributor,Machinery,Multi-modal,717,65734,23129,88863,1,2,799767,14,0,3,1,10788,5,1
Kolkata,Container,Retailer,Chemicals,Multi-modal,496,46475,38158,84633,0,0,253899,13,0,4,1,0,2,0
JNPT,Hazardous,Exporter,FMCG,Multi-modal,803,67632,32856,100488,0,0,401952,10,1,6,1,0,2,1
Chennai,Container,Importer,Textiles,Multi-modal,838,74568,34110,108678,1,1,326034,4,1,1,0,1773,5,1
Cochin,Container,Retailer,FMCG,Multi-modal,639,61586,25344,86930,0,0,521580,3,0,6,0,0,4,1
JNPT,Container,Retailer,Textiles,Road,1382,40865,31173,72038,0,0,360190,8,0,6,1,0,5,0
Cochin,Liquid,Retailer,FMCG,Road,1229,65362,20148,85510,1,3,769590,14,1,2,1,19176,4,1
Kolkata,Container,Importer,FMCG,Road,1162,44218,24803,69021,0,0,552168,1,1,2,1,0,1,0
Mundra,Bulk,Importer,Electronics,Road,320,61692,27407,89099,1,3,445495,8,1,2,0,20307,1,1
JNPT,Liquid,Exporter,Chemicals,Rail,792,49476,37270,86746,0,0,346984,8,1,1,0,0,5,0
JNPT,Hazardous,Distributor,Textiles,Multi-modal,810,73092,35160,108252,0,0,866016,14,0,3,1,0,2,1
Kolkata,Hazardous,Importer,FMCG,Multi-modal,257,87176,36105,123281,0,0,862967,1,0,4,1,0,3,1
Kolkata,Hazardous,Importer,FMCG,Rail,881,88002,39317,127319,1,2,254638,7,1,2,1,5380,5,1
Chennai,Liquid,Distributor,Electronics,Multi-modal,355,44302,37472,81774,1,1,163548,14,1,3,1,9378,1,1
Kolkata,Hazardous,Distributor,Textiles,Rail,434,53017,38964,91981,0,0,367924,6,1,5,1,0,5,1
Chennai,Bulk,Retailer,FMCG,Multi-modal,987,86029,32612,118641,0,0,1067769,10,1,1,1,0,4,1
Cochin,Container,Importer,Textiles,Road,406,87342,20037,107379,0,0,644274,9,1,1,0,0,1,1
JNPT,Hazardous,Importer,Electronics,Multi-modal,365,66623,20256,86879,0,0,260637,11,0,2,1,0,1,0
Kolkata,Bulk,Retailer,FMCG,Multi-modal,106,62076,32048,94124,1,4,470620,2,1,1,1,4180,2,1
JNPT,Hazardous,Distributor,FMCG,Road,137,56630,39603,96233,0,0,577398,8,0,6,1,0,1,1
Kolkata,Container,Distributor,Textiles,Rail,1488,47773,30778,78551,1,1,235653,9,0,5,0,4900,5,1
Mundra,Hazardous,Distributor,Chemicals,Rail,432,64323,26963,91286,1,3,365144,1,0,3,1,14430,1,1
Cochin,Liquid,Retailer,Machinery,Rail,196,86874,29840,116714,0,0,1050426,10,0,5,1,0,2,1
Kolkata,Container,Retailer,Machinery,Road,510,71587,31690,103277,1,1,929493,11,0,3,1,8785,4,1
Chennai,Bulk,Exporter,Chemicals,Road,1348,58232,30576,88808,0,0,355232,7,0,3,0,0,2,1
Cochin,Liquid,Exporter,Textiles,Road,815,75057,27370,102427,0,0,716989,7,1,5,1,0,3,1
JNPT,Liquid,Exporter,Chemicals,Multi-modal,615,58565,29834,88399,0,0,265197,6,1,5,0,0,4,0
Chennai,Bulk,Retailer,Machinery,Road,582,84214,28848,113062,0,0,565310,3,0,4,1,0,3,1
Cochin,Container,Retailer,Chemicals,Rail,77,40671,20777,61448,1,3,368688,5,1,3,0,23289,3,1
Mundra,Liquid,Exporter,Textiles,Road,1140,57430,22176,79606,0,0,477636,5,0,5,0,0,5,1
Mundra,Bulk,Retailer,Textiles,Multi-modal,902,70960,25901,96861,1,1,678027,9,0,4,0,8396,3,1
Cochin,Bulk,Importer,Chemicals,Multi-modal,1134,45241,24695,69936,0,0,419616,6,0,6,0,0,1,0
JNPT,Liquid,Exporter,Chemicals,Multi-modal,1380,54379,24239,78618,0,0,550326,6,0,1,0,0,1,0
JNPT,Container,Retailer,Textiles,Multi-modal,613,88777,26217,114994,0,0,689964,2,0,4,0,0,5,1
Cochin,Container,Exporter,Machinery,Road,712,79159,36450,115609,1,3,1040481,14,1,2,1,22356,1,1
Cochin,Container,Retailer,Electronics,Road,683,64188,24019,88207,0,0,529242,10,0,4,0,0,2,0
JNPT,Container,Retailer,FMCG,Multi-modal,1155,56911,20916,77827,0,0,700443,14,0,4,1,0,2,0
JNPT,Liquid,Retailer,Machinery,Multi-modal,1299,86728,20690,107418,1,2,751926,1,1,1,0,3794,5,1
Chennai,Container,Distributor,Chemicals,Rail,1046,56799,29663,86462,1,3,778158,9,0,1,0,16110,4,1
Mundra,Container,Exporter,Chemicals,Rail,1157,41756,22373,64129,0,0,128258,3,0,3,1,0,4,1
JNPT,Liquid,Importer,FMCG,Rail,1110,40632,33280,73912,0,0,369560,7,0,5,1,0,1,1
Kolkata,Bulk,Exporter,Chemicals,Multi-modal,686,86707,31219,117926,1,1,353778,11,1,3,1,1096,3,1
Cochin,Bulk,Importer,Machinery,Rail,1196,89608,25914,115522,0,0,231044,1,0,4,1,0,5,1
Chennai,Hazardous,Exporter,Textiles,Rail,1098,77552,35185,112737,1,2,676422,10,0,3,1,3378,5,1
JNPT,Liquid,Exporter,Electronics,Multi-modal,796,85948,37336,123284,1,3,1109556,5,0,1,1,10791,3,1
Kolkata,Container,Retailer,Machinery,Road,82,57040,32004,89044,1,1,534264,9,1,2,1,4563,1,1
JNPT,Bulk,Exporter,FMCG,Rail,116,51292,28026,79318,0,0,158636,5,1,3,0,0,5,1
Cochin,Liquid,Distributor,Machinery,Road,647,57973,38904,96877,1,1,290631,1,0,6,1,7704,1,1
Kolkata,Bulk,Retailer,Textiles,Road,1132,80823,31441,112264,0,0,785848,1,0,4,1,0,5,1
JNPT,Liquid,Exporter,Electronics,Rail,1335,44102,23542,67644,1,1,405864,9,0,5,1,9457,5,1
Cochin,Container,Retailer,Chemicals,Rail,464,41004,30286,71290,1,3,213870,1,0,5,0,5304,3,1
Chennai,Liquid,Retailer,FMCG,Multi-modal,476,58594,27399,85993,1,2,687944,1,1,6,1,4944,5,1
Mundra,Hazardous,Importer,Electronics,Road,796,88094,25266,113360,1,3,906880,3,0,2,1,12705,1,1
Kolkata,Container,Importer,Chemicals,Multi-modal,388,81476,38916,120392,0,0,963136,6,1,6,0,0,5,1
Cochin,Bulk,Distributor,Textiles,Rail,1291,82299,28009,110308,0,0,661848,2,0,5,0,0,2,1
Kolkata,Liquid,Importer,Textiles,Road,1256,76135,28095,104230,1,1,312690,3,0,4,1,6955,3,1
JNPT,Bulk,Exporter,Textiles,Multi-modal,589,58767,30846,89613,1,1,268839,8,1,4,0,2079,2,1
Chennai,Hazardous,Exporter,FMCG,Rail,1010,58344,21473,79817,0,0,399085,4,0,4,0,0,1,0
Kolkata,Bulk,Importer,FMCG,Multi-modal,505,74108,34805,108913,1,2,762391,13,0,3,1,7516,1,1
Mundra,Hazardous,Exporter,Machinery,Rail,882,55926,31704,87630,1,3,613410,13,1,5,1,20382,2,1
Chennai,Container,Distributor,Chemicals,Road,733,89069,20684,109753,0,0,329259,12,0,6,0,0,5,1
Cochin,Container,Importer,Textiles,Road,788,82364,39488,121852,0,0,487408,12,1,6,0,0,4,1
JNPT,Hazardous,Distributor,Chemicals,Road,1421,62551,35300,97851,1,1,782808,14,1,4,0,5962,2,1
JNPT,Liquid,Importer,Machinery,Multi-modal,947,80818,25947,106765,0,0,213530,1,0,5,0,0,2,1
JNPT,Bulk,Distributor,Chemicals,Multi-modal,316,88710,29065,117775,0,0,471100,13,1,1,1,0,4,1
Mundra,Liquid,Retailer,Electronics,Rail,1391,57573,32288,89861,0,0,629027,3,1,5,0,0,5,1
Chennai,Bulk,Retailer,Chemicals,Multi-modal,1308,73158,39421,112579,1,3,900632,5,1,2,1,5667,2,1
Cochin,Hazardous,Retailer,FMCG,Multi-modal,184,71416,20731,92147,1,2,276441,2,1,3,0,18464,3,1
JNPT,Bulk,Distributor,Chemicals,Rail,215,45229,38799,84028,0,0,420140,10,0,2,0,0,3,0
Cochin,Bulk,Distributor,Machinery,Rail,1314,83407,29422,112829,0,0,902632,9,0,3,1,0,3,1
Kolkata,Liquid,Importer,FMCG,Road,356,67528,21995,89523,0,0,447615,3,0,5,0,0,1,0
Chennai,Container,Retailer,Textiles,Rail,188,64399,29624,94023,1,4,752184,3,0,1,0,28576,1,1
JNPT,Container,Exporter,Electronics,Multi-modal,445,54166,26572,80738,0,0,403690,6,1,3,0,0,3,1
JNPT,Bulk,Distributor,Chemicals,Road,1069,57140,22670,79810,0,0,399050,8,0,6,0,0,3,1
Cochin,Container,Importer,FMCG,Rail,1178,81925,31982,113907,0,0,911256,9,0,1,0,0,4,1
Cochin,Bulk,Retailer,Textiles,Multi-modal,715,56877,37810,94687,0,0,473435,8,1,3,1,0,2,1
Kolkata,Liquid,Exporter,Chemicals,Multi-modal,885,48953,28381,77334,1,1,696006,13,1,5,0,5060,5,1
Mundra,Liquid,Exporter,FMCG,Multi-modal,1454,47130,23186,70316,0,0,281264,1,0,1,0,0,2,0
Cochin,Liquid,Exporter,Chemicals,Rail,318,70846,22268,93114,1,3,838026,13,0,5,1,6861,5,1
JNPT,Bulk,Exporter,FMCG,Rail,1409,40660,28907,69567,1,2,139134,3,1,1,1,11520,2,1
Mundra,Liquid,Importer,Chemicals,Road,563,86233,24087,110320,0,0,992880,8,0,3,1,0,1,1
Cochin,Hazardous,Distributor,FMCG,Road,1307,45355,33301,78656,0,0,707904,10,0,3,1,0,1,1
Kolkata,Liquid,Exporter,Textiles,Rail,292,62689,28252,90941,1,3,636587,10,0,5,0,5874,5,1
Chennai,Bulk,Retailer,Electronics,Road,1265,69550,33833,103383,0,0,827064,10,1,2,0,0,1,1
Cochin,Liquid,Distributor,Textiles,Road,1105,45154,33767,78921,1,2,157842,12,0,5,1,13914,4,1
Cochin,Container,Exporter,Textiles,Road,1046,82459,38214,120673,1,4,603365,8,0,2,0,28768,1,1
Kolkata,Bulk,Distributor,Electronics,Rail,747,43146,37177,80323,0,0,642584,2,1,2,0,0,1,0
Chennai,Container,Retailer,Chemicals,Multi-modal,146,84296,25745,110041,0,0,990369,7,0,6,1,0,4,1
Cochin,Hazardous,Retailer,Machinery,Multi-modal,123,47933,29436,77369,1,3,696321,13,1,6,0,27000,4,1
Chennai,Bulk,Exporter,Chemicals,Multi-modal,1188,73099,37805,110904,0,0,443616,9,1,4,1,0,2,1
Chennai,Bulk,Importer,Electronics,Multi-modal,458,45741,36661,82402,0,0,247206,2,0,5,0,0,1,0
Cochin,Liquid,Exporter,FMCG,Rail,495,63416,39762,103178,0,0,515890,5,1,6,0,0,5,1
Chennai,Bulk,Retailer,Electronics,Road,1451,45097,38044,83141,1,3,249423,6,0,3,1,17778,1,1
Chennai,Liquid,Exporter,Textiles,Multi-modal,1107,84028,38563,122591,0,0,1103319,4,1,3,1,0,3,1
Mundra,Container,Distributor,Textiles,Rail,398,71600,37629,109229,0,0,873832,11,0,4,1,0,2,1
Chennai,Liquid,Distributor,Electronics,Multi-modal,298,42939,21031,63970,0,0,255880,11,0,5,0,0,1,0
JNPT,Container,Importer,Electronics,Rail,1283,54457,22939,77396,0,0,386980,14,1,1,1,0,5,1
